entity_type,identifier,count,sample_url
facebook_page,barbarycoast.ut,11,https://www.facebook.com/barbarycoast.ut?__cft__[0]=AZaFGZPt1x-oQSQljRmIreK1JhFd_vaRDvXAK0CYsJ06FTERKaZve5awjNdCPs1CqQ5e6cvHXx0sEDI9We4toEZ6HT2LNN-Cl-1fBVWG6j32AHM63A5yOyN1RsH5KTzE3XHrNHcCM7CZngB7f_t-9c_Qdgi-GRxU-TJ_qYvG_w7Z455k9MxEWubyEfLk2df9G5emXVjN3_llH8SBYQB7X6I5DbCp9DNLIzuFpZ8nau6-Hg&__tn__=-UC%2CP-y-R
facebook_page,terri.g.shaw,8,https://www.facebook.com/terri.g.shaw?__cft__[0]=AZY-YLkO0JPL9W7DJS1H0zjNl0-swdGAoTMkB-YAX461e-Y3Q8G_zVKiY8az1JlW5FAP5m8WeSG-Wm_oafQDFhCXulQWw8JaeWWr6nEvulAaot5uPWOUrdQ9-CtKKE2YPPVwOy1fsnGt7yU8qUCBudYoVlCCu7-rjgXoT_NqWTnG5pLy5QS01ryErphGX7N4GU0iWpTDQd4Cbfl-P3IXmiP4UP4ra82UeZYPkM83-HWzwA&__tn__=-UC%2CP-y-R
facebook_page,1695885232,8,https://www.facebook.com/1695885232/videos/pcb.3785064924959598/1752448542114277?__cft__[0]=AZaWJelDGZ_wpBXhWumL3pgyB6rhDmYFE1zJBn-1jysFNqM9IB_neGBa9wXMeoGACqUmPUBPifNMPfcSAjAJH-DlCJHV-p7d3j6v_mpELIKZwynisIG61-vMfPe-fTZtHKiPnqBXXYQafl2z6f6Gr6e1kDAT6vM2qoU_f8eP81s32MENctiGbnPoXrWZfAInPKEERdRlMRmENGzJWwMmN9Jx&__tn__=*b0H-R
facebook_page,craig.l.brotherson,7,https://www.facebook.com/craig.l.brotherson?__cft__[0]=AZYClyvLGtdABnG-Z3OsoibcbGnY4laL8f0XgT1GLZikalkEn6Fq9_NYZNXLnfGkedKiw4NpO9V_4l_lDo0s5TJiVwS54LLlDfsUdjTIGZiJuc1BWVHh9NHcd68BYg9F1LZyP_9ruTHpne9tlOMgLgQBR1RhlY6oaYF9dEie-Ggp9cx76IjjIKZQosIlSX7e5DXQ0tw3AiwhcQOg9sjlOmGG6hLu7k8kaOLGN6ybo8rZeQ&__tn__=-UC%2CP-y-R
facebook_page,smarterthankatie,6,https://www.facebook.com/smarterthankatie?__cft__[0]=AZbDM7UXnHgtQWsOoNPAbmnDywNBDPVrC_kfC9HTGoNolj0sM7CNdebQA5SD9uTeXPt9Aq9akqXijg6Ip1wapzZKM7YvNk0a8ueZgRThywWc4RFxG1VmZqFpAGZ8sNyjamdrmPmoYADL5pOXFsPFivVqdMdB_Ay28-_KdofdTu9YdLIX1r1bua6ZfRbsYRK1cdLUFVoTVUEPuOWAs5cgEwurEW3cSfFJR69R3Vm4SG7L5w&__cft__[1]=AZaYK-kFe-YGAuKyCenGwOV633SPeBgxoV_P1iFoPKcSaK_TPMaz7Wt7o44iDYEWFJRAHHAvXKuP3vZZYgwX6_gPBiSqIXq71twPSWzmaWemHH8PqudzBdazccPdi62vk-MiZbepxlgDq-eKX1_2Jlj0MZQBymJJpzLA8OH5pjNKpn_PIPI7sBBsnd261PRTrIxqe6Cvn3jwF40e76ykOHeg&__tn__=H-R
facebook_profile_id,61551663070415,6,https://www.facebook.com/profile.php?id=61551663070415&__cft__[0]=AZYThIzu_VeZrDdbnVr0N_KQ4mx_p8oPwDz-dall6RQHbpdm1OM7EGVK5HCwHvI1wblnu5xK00Dyi29sP-NXFF4xHgVWz0YOXcxx5sFUXjRdLBviE9bYfrhWEJWFtHKfRmzYu5j5qXa5CuMTlgCopBWruKnTVSXlFG9L3QJe-7HLHW9Q0M58DO1KLr8r1_nIhtNH1GIsd5j-tLSn2b6xxJuqLj9sJIZIAWq2HPqD_hGihw&__cft__[1]=AZbBIZ-oJFPb_FP-JHeJTY3j3KlCimQBwCkQHLhI4eHzf2BY28GqVbDOPfm7_kKoaacEDhTk-abhbli5VGwuiZoFuWGs2K7FZ0zReEe3eA6GgkC3Ofmj7aYH4LQChJsiaVuzQTbjoZ14FX13phHw0_uBdt2Df8hUEcz3OJDbj-ViA66FqMAW8NpaZBZxi2SrSh7pDMy0gUaC7RYyD3dWTSPdUlNrIKzcsLPUo-OQQWK17A&__tn__=H-R
facebook_page,opeytailor,6,https://www.facebook.com/opeytailor?__cft__[0]=AZZesPpv-6zySVzqD93cx1ptMviAJaUckmkRSACLHgi5e7Jlb6-zrvh1pAalbllN8uR8LlDFGCyAQXAD5ZHffcjM89mZ2_jzRa0MwOveMzf4cymEVIy8vrjS1eplDED31O5n81lUHu7BGv-UFA5IAZZUiD78RXf92yiF0Tm4XUhej1M7bnNM1bBc4D7UIgqIuUou0dzruzgOr9I38Pm_lHM9-KuvWuWO_T8_ozh1u1BfOg&__cft__[1]=AZZ1lH8lJd4b31KLop8qiDD-cPbvJupFFWzqiAMDQK5p9adZNke0fIJU28BrbG6Jc4Lbr7sL3j3n48dWy00s7JaZVuHISCrMEOryKVrNKj6QqbXAl3B7cF0Z8gl1nAwDScNc8qL6QMUHT_TZkit6-xwAOAjEYgfS1mA9hJ0RMW-G7EAPc2MV5beBmWJtcmv5f6AOz1T3A5bYM_80zMhG5G3G&__tn__=H-R
facebook_event,1129209842712194,6,https://www.facebook.com/events/1129209842712194/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22attachment%22%2C%22surface%22%3A%22newsfeed%22%7D]%2C%22ref_notif_type%22%3Anull%7D&__cft__[0]=AZYCSNaCXjX4aBOzgCPpXAGOviHWV8hzkUCUkop_KVRhQw6CkWx7MuteF9ckzuWS2mZ1-SQQnxjbEUu0QKH7BsiVkYjSY1gjfBL8x38hye1yqREznx6dru1hUne0YKqhJjYl10R2J7DUKXrCfLiCbMc7flEk7t7Zt70K0ZwJaypmfDAxcjsZNO5AzFzNqXu7HjIAzamJINTGyPb4JxLGC5qf&__tn__=H-R
facebook_page,Corkyonair,6,https://www.facebook.com/Corkyonair?__cft__[0]=AZbZTvp_-QFCwcpnMnmeO3HRaqkxl72zJx91N81NWKL6V0dYS2BxnONO1kIrX2ueSckYuh9i_7VCrcdhey-O7tPSYRhrIIlmjRAFg3D-y80l2SiBwKRYZVi6PpHFPwasnm_kBzCewWzrL265RKeZjPAc1y_Im_EKQ8uos1nWr5rRRX78OXWEulhC8Uvlu34tAh9LRi6D5KgEY5yNcPpVkwTTLVAjd6OAZYrsq-yXLNZxQw&__cft__[1]=AZbpKghJRfMSGpO0A4u6bV6yXetasjQfxhiyEDV315dUxHlZteU7VSi7lDg1A-1dMB-YQB8ffE9i5H4SNryac0LU5pa04tlfPt5EtfG7jmUOHL6HEMNTNgyF_FHZDhHEzKFZ6pGDnLXhJTOH_ODn3SFso3G4PjKzV48a-LpUh37lZg&__tn__=H-R
facebook_page,wocura,5,https://www.facebook.com/wocura?__cft__[0]=AZbxt3haM2wbnXeXDyKp1bWWuLsjLUeUb0QdS5VppzH3JsGNk1pxqC_LuaWZ4boy8Ue48LZHoBAlo6WU5f3F0IXzSH3r2i7H6Wf1KGBboVJsIP69AkSp0ZF7zsvJMCrNsVwj-miXF1bK35oRZhCrRn-t8WuIzCDwl-19iqyj1i5uoNQdTKXNnCa_wKgX4xiYWFM5cESIApNAAk3-rxLWoe--0yl6pcPdnCi-Ae7TX_BRS3pfX3e9GE275muKy-cL1d7_XY2eaHV3DcDZDEezbVe1&__tn__=-UC%2CP-y-R
